% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
7 +1.305905509e+02 +1.305905509e+02 +1.053405509e+02 +1.053405509e+02 +1.6856e+00 +7.7503e-01 +2.5051e+00 +4.8758e+00 +3.9280e+00 -3.7545e+00 -2.9446e+00 -1.3941e+00 -1.0428e+00 +1.7795e+00 +1.5227e+00 +1.9666e+00 -3.3324e+00 +3.0803e+00 +2.4993e+00 -1.9655e+00 -2.3647e-01 -1.4419e+00 -1.1117e+00 +5.7362e-01
% function evaluation | noise-free fitness - Fopt (2.230000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.578782946e+02 +3.578782946e+02 +3.601082946e+02 +3.601082946e+02 -2.4542e+00 +4.2650e+00 -1.1188e+00 +2.3558e+00 -1.2579e+00 -5.2507e-01 +4.5452e+00 +4.9312e+00 +6.7030e-01 -9.2081e-01 +2.8123e+00 -9.4868e-02 +3.6345e+00 +3.5845e+00 +1.2067e+00 +2.8138e+00 +3.3209e-01 +6.2242e-02 +2.4721e+00 +3.2076e+00
4 +2.094005139e+02 +2.094005139e+02 +2.116305139e+02 +2.116305139e+02 +1.8709e+00 -4.9320e+00 +3.4825e+00 +1.2448e+00 -1.9905e+00 -4.9640e+00 -4.4942e+00 +3.2555e+00 +1.6912e+00 -2.2113e+00 +4.1716e+00 -4.8250e+00 -9.6863e-01 -3.5720e+00 -4.2919e+00 -4.5610e+00 +3.8305e+00 -4.0939e+00 +2.2674e+00 +4.3776e+00
44 +8.859965329e+01 +8.859965329e+01 +9.082965329e+01 +9.082965329e+01 +1.2066e+00 -1.8932e+00 +1.0771e+00 -1.8032e-01 +1.0803e+00 -4.1918e+00 -4.5541e+00 -1.0016e-01 +3.1568e+00 +6.3671e-01 -1.2336e+00 +4.0616e+00 +2.7584e+00 -2.3349e-01 -3.2720e+00 -3.4404e+00 +4.6017e+00 -1.5365e+00 +1.8109e+00 -9.1124e-01
% function evaluation | noise-free fitness - Fopt (-1.308000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.157304675e+02 +2.157304675e+02 +2.026504675e+02 +2.026504675e+02 -3.6726e+00 +8.9886e-01 -1.4616e+00 +2.3307e+00 -2.0633e+00 -1.1685e+00 +4.0876e+00 +2.3752e-01 -4.5684e+00 -1.5988e+00 -9.3108e-01 +6.4554e-01 +2.6356e-01 -2.4379e+00 +2.2186e+00 +6.3731e-01 +2.4941e+00 -4.8767e+00 -3.8097e-01 -3.9937e+00
8 +1.459819127e+02 +1.459819127e+02 +1.329019127e+02 +1.329019127e+02 +1.6205e+00 -2.5022e+00 +2.2947e+00 +3.3158e-01 +4.9065e+00 -4.7356e+00 -1.6837e+00 -3.7333e+00 +4.9827e+00 -2.6761e+00 -4.7435e-01 -1.5804e+00 +2.7025e+00 +2.6242e+00 +3.1850e-01 -2.7620e+00 +3.7584e+00 +1.7373e+00 -4.9353e-01 +5.4216e-01
46 +8.852162185e+01 +8.852162185e+01 +7.544162185e+01 +7.544162185e+01 +2.6879e+00 -2.9050e+00 +1.1116e+00 +2.0071e+00 -2.1510e+00 -2.6641e+00 +1.4628e-01 -1.6076e+00 -4.5651e-01 -2.1136e+00 -1.9786e-01 +2.4524e+00 +2.5242e+00 -3.6293e+00 -1.5917e+00 -2.6885e-01 -2.9271e+00 -2.2263e+00 +1.4547e+00 +2.2480e+00
% function evaluation | noise-free fitness - Fopt (2.671600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.902209057e+02 +2.902209057e+02 +5.573809057e+02 +5.573809057e+02 -1.6866e+00 +4.7935e+00 -3.2904e+00 -4.0679e+00 -7.9191e-02 +4.1061e+00 -4.6573e+00 -2.5591e+00 +3.8638e-01 -2.0631e-01 +1.0853e+00 +1.7336e+00 +4.2615e+00 +2.1490e+00 -3.3851e+00 -3.5204e+00 +4.5645e+00 +8.6702e-01 -1.0577e+00 +1.5699e+00
2 +2.077326182e+02 +2.077326182e+02 +4.748926182e+02 +4.748926182e+02 -4.5336e+00 +1.8616e+00 -2.1699e+00 -1.1111e+00 +3.2992e+00 +3.1707e+00 -1.4511e+00 +1.5303e+00 -4.5713e+00 -1.4376e+00 -6.0827e-02 -4.3130e+00 -4.6599e+00 +2.9298e+00 -3.5763e+00 +1.6057e-01 +1.3096e+00 +3.0388e+00 +2.9201e+00 +3.0540e+00
28 +1.293528870e+02 +1.293528870e+02 +3.965128870e+02 +3.965128870e+02 -3.7843e+00 -1.2865e+00 -4.2333e+00 -3.0545e+00 -8.1759e-01 +3.8230e+00 +3.3341e+00 -1.0055e-01 -1.5906e+00 +3.0810e+00 -4.6194e+00 -1.6826e-01 +2.3987e+00 -8.3472e-01 -2.0790e+00 -3.5889e+00 +1.6740e+00 +4.7005e+00 -2.8251e+00 -3.6630e+00
% function evaluation | noise-free fitness - Fopt (3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.772749196e+02 +2.772749196e+02 +2.809849196e+02 +2.809849196e+02 +3.2633e+00 -2.8500e+00 -3.9526e+00 -8.1536e-01 -6.2899e-01 +1.3064e-01 +4.1653e+00 -1.8801e+00 +3.2759e+00 +3.9542e+00 -3.7973e+00 +2.9891e+00 +2.7922e+00 -1.0767e+00 -4.3223e+00 -3.9410e+00 +4.2868e+00 -2.7608e+00 +3.7202e+00 +3.4615e+00
2 +1.894834319e+02 +1.894834319e+02 +1.931934319e+02 +1.931934319e+02 -1.5858e-01 -4.8894e+00 -4.3646e+00 -4.7425e+00 -3.6876e+00 -1.5588e-01 -1.4014e+00 -3.9554e-01 +4.6545e+00 -4.2724e+00 +1.8617e+00 +1.8665e+00 -1.3932e+00 -4.3920e+00 +2.3078e+00 -3.1731e+00 -1.6971e+00 -2.7838e+00 -4.0693e-01 +8.2238e-01
4 +1.512685942e+02 +1.512685942e+02 +1.549785942e+02 +1.549785942e+02 -8.0412e-04 -8.0642e-01 -2.0211e+00 -4.3757e+00 +1.2136e+00 -1.0902e+00 +7.3239e-01 -1.3303e+00 -3.4338e+00 -4.2278e+00 -1.1043e+00 -2.6705e+00 -3.3162e+00 -3.9828e-02 -1.7930e+00 +1.1599e+00 -1.2724e+00 +1.7276e+00 -3.0760e+00 -5.7161e-01
% function evaluation | noise-free fitness - Fopt (9.478000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.526132483e+02 +3.526132483e+02 +4.473932483e+02 +4.473932483e+02 -3.9962e+00 -3.9619e+00 -1.2879e+00 +3.3860e+00 +2.7661e+00 -2.0920e+00 -3.2356e+00 -2.2475e+00 -4.5040e+00 +2.7916e+00 -5.8996e-01 -3.5767e+00 +3.8446e+00 -1.6733e+00 +4.1255e+00 -1.5295e-01 -8.7028e-01 +3.7889e+00 -3.8530e+00 +4.7060e-01
3 +2.431767337e+02 +2.431767337e+02 +3.379567337e+02 +3.379567337e+02 -4.8872e+00 +2.7501e+00 +3.4788e+00 -1.3837e+00 +1.8540e+00 +2.1003e+00 +1.2244e+00 -2.1095e+00 -1.7357e+00 -2.5495e+00 +2.2318e+00 -1.5824e+00 -1.4392e+00 -3.1019e+00 -2.1523e+00 -4.8476e+00 +2.2420e+00 +4.2195e+00 -4.2532e+00 +3.6158e+00
48 +1.361583807e+02 +1.361583807e+02 +2.309383807e+02 +2.309383807e+02 +2.1812e-01 -2.6455e+00 +4.2281e+00 -4.1909e+00 -3.9064e+00 -1.6078e+00 +1.4756e+00 +8.3127e-01 +2.3747e+00 +2.4588e-01 +3.9418e+00 +2.1983e+00 +1.6680e+00 -1.7329e+00 +9.9164e-01 +1.8730e+00 -5.4454e-01 +2.3587e+00 -1.0458e-01 +5.5572e-01
% function evaluation | noise-free fitness - Fopt (2.339200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.639557811e+02 +1.639557811e+02 +3.978757811e+02 +3.978757811e+02 -1.6292e+00 +3.6454e+00 -1.1302e+00 -1.9290e+00 +3.4610e+00 +1.4758e-01 -2.6064e+00 +3.8703e+00 +1.4186e+00 +4.6246e+00 +3.9407e+00 +4.2988e-01 +4.3338e-01 -3.0116e+00 -1.5639e+00 +6.1746e-01 +9.2811e-01 +1.7574e+00 -2.9345e+00 +4.1895e+00
2 +1.039017919e+02 +1.039017919e+02 +3.378217919e+02 +3.378217919e+02 -3.5910e+00 +3.1064e+00 -1.8440e+00 -4.5956e+00 -1.0248e+00 -2.7742e-01 +2.3868e+00 -2.2443e+00 -1.1022e+00 +3.4379e+00 +1.0956e+00 -3.9953e+00 -2.3876e+00 +1.6250e-01 +1.3705e+00 -1.0420e+00 +1.5424e+00 +1.2021e+00 +1.4486e+00 -2.3255e-01
% function evaluation | noise-free fitness - Fopt (-6.092000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.068808973e+02 +3.068808973e+02 +2.459608973e+02 +2.459608973e+02 -2.2578e+00 +1.3116e+00 +2.5636e+00 -1.4466e+00 +1.0573e+00 -4.6350e+00 -3.3589e-01 +4.4393e+00 +2.3857e+00 -2.4450e+00 +2.0501e+00 -1.0974e+00 +1.8180e+00 +4.7389e+00 -4.5333e+00 -2.5356e-01 +1.4551e+00 -3.9390e+00 +2.5881e+00 +4.7865e+00
5 +2.231306493e+02 +2.231306493e+02 +1.622106493e+02 +1.622106493e+02 -6.2072e-01 +2.2475e+00 -4.2274e+00 +3.3773e+00 -4.3092e-01 +1.8382e+00 +3.6279e+00 +2.5874e+00 -8.0307e-01 +6.5332e-01 -3.0304e+00 +1.3714e+00 +1.7995e+00 -3.4385e+00 -4.9976e-02 -3.0604e-01 +1.3172e-01 +2.9537e+00 +3.5350e-01 +4.4738e+00
19 +1.441618893e+02 +1.441618893e+02 +8.324188928e+01 +8.324188928e+01 +2.3820e+00 +4.0549e+00 +2.4717e+00 +3.0011e+00 -5.4752e-01 +3.2528e+00 +1.0849e+00 -1.5378e+00 -3.4576e+00 +8.2376e-01 -4.8775e-01 -2.5154e+00 +7.7782e-01 -2.2368e+00 -3.1725e+00 -2.2078e+00 +7.0598e-01 -1.5998e+00 +1.6765e+00 +1.1876e+00
% function evaluation | noise-free fitness - Fopt (-1.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.586173689e+02 +2.586173689e+02 +2.391373689e+02 +2.391373689e+02 +1.1872e+00 -2.7279e+00 +3.5740e+00 -3.2866e+00 -4.4146e+00 -1.1225e+00 -2.7221e+00 -1.9032e+00 -4.4597e+00 +9.0096e-01 -1.3646e+00 +1.1604e+00 +3.5485e+00 +2.6756e+00 -1.9685e+00 +4.3331e+00 -2.4553e+00 -5.9461e-01 +2.3597e+00 -3.6728e+00
2 +2.111031071e+02 +2.111031071e+02 +1.916231071e+02 +1.916231071e+02 -2.7570e+00 -3.5837e+00 -1.2812e+00 +1.2606e+00 -1.7691e+00 -1.6441e+00 -2.7726e+00 -3.3723e-01 -2.8226e+00 +2.0448e-01 +2.0458e+00 -2.5533e+00 +1.0525e+00 -4.7707e+00 +2.1502e+00 -1.0355e+00 +1.6687e+00 +2.5540e+00 +1.6279e+00 -2.5913e-01
67 +1.502554522e+02 +1.502554522e+02 +1.307754522e+02 +1.307754522e+02 +1.0611e-01 -1.5887e+00 +3.2023e+00 +1.2091e+00 +3.1926e+00 -2.3903e+00 +1.2608e+00 -3.9882e+00 +3.3625e+00 +2.1089e-01 -1.0630e+00 -8.3161e-01 +1.5441e+00 +2.4556e+00 +3.3282e+00 +1.4941e+00 -4.7335e+00 -2.2452e+00 -4.7720e+00 -1.9792e+00
124 +7.933247869e+01 +7.933247869e+01 +5.985247869e+01 +5.985247869e+01 -2.0604e+00 +2.4017e+00 +1.9205e+00 +2.8620e+00 -7.5313e-01 +2.2767e-01 -4.7509e+00 -1.4959e-01 +3.8916e+00 +5.7272e-01 -3.7227e-01 -4.4582e+00 +2.7456e+00 -1.2864e+00 -6.6656e-01 +1.1237e+00 -4.0004e+00 +1.6016e+00 -2.0409e-01 +1.5007e+00
% function evaluation | noise-free fitness - Fopt (1.344700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.093533616e+02 +2.093533616e+02 +3.438233616e+02 +3.438233616e+02 -1.3343e-01 +4.9499e+00 -1.4452e+00 +2.6062e+00 +2.6472e+00 +2.2931e+00 -4.1644e+00 -2.0303e+00 -1.4372e+00 -4.1733e+00 +4.9153e+00 -2.9647e+00 +3.0688e+00 -9.6823e-01 -3.7461e+00 -4.0576e+00 +2.5982e+00 -1.1296e+00 -1.1279e-01 -1.0461e+00
29 +1.523528106e+02 +1.523528106e+02 +2.868228106e+02 +2.868228106e+02 -1.5009e+00 -3.8090e+00 +1.0174e-01 +1.8006e+00 -3.6183e-01 +4.0687e+00 -2.3574e+00 -1.3414e-01 -4.0595e+00 -1.0432e+00 +3.5190e+00 +1.3831e+00 +2.1733e+00 -2.6882e+00 -2.3402e+00 +2.3227e-01 +4.0550e-02 -2.5260e+00 +1.0105e+00 +2.9012e+00
% function evaluation | noise-free fitness - Fopt (4.453500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.346351202e+02 +1.346351202e+02 +5.799851202e+02 +5.799851202e+02 +3.5516e+00 +1.1141e+00 +1.9242e+00 +5.1564e-01 +4.0927e+00 -1.7602e-01 -2.2393e-01 +3.4771e+00 +1.3977e+00 +3.8026e+00 +1.9698e+00 +2.4747e+00 +7.2614e-01 -1.8838e+00 -8.5332e-01 -2.6831e+00 -1.7806e+00 -4.0747e+00 +4.1980e+00 +3.7131e+00
